dimacs-analyzer,dimacs-analyzer-time,dimacs-file,iteration,model-satisfiable
sat-competition/02-zchaff,36817530,kmax/linux/v2.6.29[x86].dimacs,4,true
sat-competition/02-zchaff,40960665,kmax/linux/v2.6.33[x86].dimacs,4,true
sat-competition/02-zchaff,66389099,kmax/linux/v2.6.37[x86].dimacs,4,true
sat-competition/02-zchaff,85473759,kmax/linux/v3.2[x86].dimacs,4,true
sat-competition/02-zchaff,97592526,kmax/linux/v3.8[x86].dimacs,4,true
sat-competition/02-zchaff,108622218,kmax/linux/v3.13[x86].dimacs,4,true
sat-competition/02-zchaff,115237368,kmax/linux/v3.19[x86].dimacs,4,true
sat-competition/02-zchaff,134087411,kmax/linux/v4.4[x86].dimacs,4,true
sat-competition/02-zchaff,147584910,kmax/linux/v4.10[x86].dimacs,4,true
sat-competition/02-zchaff,169753663,kmax/linux/v4.15[x86].dimacs,4,true
sat-competition/02-zchaff,200455258,kmax/linux/v5.0[x86].dimacs,4,true
sat-competition/02-zchaff,199484957,kmax/linux/v5.5[x86].dimacs,4,true
sat-competition/02-zchaff,252554817,kmax/linux/v5.11[x86].dimacs,4,true
sat-competition/02-zchaff,274514000,kmax/linux/v5.16[x86].dimacs,4,true
sat-competition/02-zchaff,278720594,kmax/linux/v6.2[x86].dimacs,4,true
sat-competition/02-zchaff,276813530,kmax/linux/v6.7[x86].dimacs,4,true
sat-competition/02-zchaff,28368984,kconfigreader/linux/v2.5.45[i386].dimacs,5,true
sat-competition/02-zchaff,27363101,kconfigreader/linux/v2.5.54[i386].dimacs,5,true
sat-competition/02-zchaff,35411831,kconfigreader/linux/v2.6.1[i386].dimacs,5,true
sat-competition/02-zchaff,48008971,kconfigreader/linux/v2.6.11[i386].dimacs,5,true
sat-competition/02-zchaff,58392962,kconfigreader/linux/v2.6.15[i386].dimacs,5,true
sat-competition/02-zchaff,76138462,kconfigreader/linux/v2.6.20[i386].dimacs,5,true
sat-competition/02-zchaff,104475056,kconfigreader/linux/v2.6.24[x86].dimacs,5,true
sat-competition/02-zchaff,134396564,kconfigreader/linux/v2.6.29[x86].dimacs,5,true
sat-competition/02-zchaff,143880972,kconfigreader/linux/v2.6.33[x86].dimacs,5,true
sat-competition/02-zchaff,172150161,kconfigreader/linux/v2.6.37[x86].dimacs,5,true
sat-competition/02-zchaff,180870135,kconfigreader/linux/v3.2[x86].dimacs,5,true
sat-competition/02-zchaff,199450804,kconfigreader/linux/v3.8[x86].dimacs,5,true
sat-competition/02-zchaff,221746008,kconfigreader/linux/v3.13[x86].dimacs,5,true
sat-competition/02-zchaff,261171877,kconfigreader/linux/v3.19[x86].dimacs,5,true
sat-competition/02-zchaff,278935371,kconfigreader/linux/v4.4[x86].dimacs,5,true
sat-competition/02-zchaff,319234057,kconfigreader/linux/v4.10[x86].dimacs,5,true
sat-competition/02-zchaff,355688739,kconfigreader/linux/v4.15[x86].dimacs,5,true
sat-competition/02-zchaff,421533968,kconfigreader/linux/v5.0[x86].dimacs,5,true
sat-competition/02-zchaff,423318594,kconfigreader/linux/v5.5[x86].dimacs,5,true
sat-competition/02-zchaff,519133694,kconfigreader/linux/v5.11[x86].dimacs,5,true
sat-competition/02-zchaff,579902895,kconfigreader/linux/v5.16[x86].dimacs,5,true
sat-competition/02-zchaff,550422880,kconfigreader/linux/v6.2[x86].dimacs,5,true
sat-competition/02-zchaff,640699924,kconfigreader/linux/v6.7[x86].dimacs,5,true
sat-competition/02-zchaff,9128393,kmax/linux/v2.5.45[i386].dimacs,5,true
sat-competition/02-zchaff,8956634,kmax/linux/v2.5.54[i386].dimacs,5,true
sat-competition/02-zchaff,10819884,kmax/linux/v2.6.1[i386].dimacs,5,true
sat-competition/02-zchaff,14265342,kmax/linux/v2.6.11[i386].dimacs,5,true
sat-competition/02-zchaff,16185749,kmax/linux/v2.6.15[i386].dimacs,5,true
sat-competition/02-zchaff,21252558,kmax/linux/v2.6.20[i386].dimacs,5,true
sat-competition/02-zchaff,28934207,kmax/linux/v2.6.24[x86].dimacs,5,true
sat-competition/02-zchaff,36005730,kmax/linux/v2.6.29[x86].dimacs,5,true
sat-competition/02-zchaff,42453079,kmax/linux/v2.6.33[x86].dimacs,5,true
sat-competition/02-zchaff,67435227,kmax/linux/v2.6.37[x86].dimacs,5,true
sat-competition/02-zchaff,90339843,kmax/linux/v3.2[x86].dimacs,5,true
sat-competition/02-zchaff,101100908,kmax/linux/v3.8[x86].dimacs,5,true
sat-competition/02-zchaff,105920669,kmax/linux/v3.13[x86].dimacs,5,true
sat-competition/02-zchaff,116002871,kmax/linux/v3.19[x86].dimacs,5,true
sat-competition/02-zchaff,135633618,kmax/linux/v4.4[x86].dimacs,5,true
sat-competition/02-zchaff,161104649,kmax/linux/v4.10[x86].dimacs,5,true
sat-competition/02-zchaff,163591374,kmax/linux/v4.15[x86].dimacs,5,true
sat-competition/02-zchaff,181242924,kmax/linux/v5.0[x86].dimacs,5,true
sat-competition/02-zchaff,202584676,kmax/linux/v5.5[x86].dimacs,5,true
sat-competition/02-zchaff,221691689,kmax/linux/v5.11[x86].dimacs,5,true
sat-competition/02-zchaff,279923616,kmax/linux/v5.16[x86].dimacs,5,true
sat-competition/02-zchaff,292306123,kmax/linux/v6.2[x86].dimacs,5,true
